,Premiums,Death,Lapse,Matuirty,Expenses,Commissions,Investment Income,Change in AV,Net Cashflow
0,100000.0,999.8448571968411,775.6198199558864,0.0,504166.6666666667,5000.0,-195.22849587029236,87854.52772725618,-498991.88756694586
1,99123.85669532545,991.084783423378,1525.85500516831,0.0,4133.586821353967,4956.192834766272,-2544.5548148716625,83903.7172488659,1068.8651868759625
2,98255.38966155415,982.4014604497658,2279.4089622272218,0.0,4100.7696023210865,4912.769483077707,3709.158009465875,88562.64360036608,1126.5545625781524
3,97394.53164355256,973.7942158290102,3035.7268480384464,0.0,4068.212924535215,4869.726582177628,1309.5090868554057,84568.41686713623,1188.1632926914463
4,96541.21597543842,965.2623830057162,3749.2466620555133,0.0,4035.914719516954,4827.060798771921,-2905.579178981561,78811.5870846805,1246.565148426249
5,95695.37657541822,956.8053012644696,4453.025681460141,0.0,4003.8729352089063,4784.768828770912,2101.1442829413636,82297.64379107114,1300.4043205840135
6,94856.9479406696,948.4223156786699,5162.033586845201,0.0,3972.085535845287,4742.847397033481,1349.925251397146,80024.27156212548,1357.2127945386455
7,94025.8651422688,940.1127770598118,5867.127408229792,0.0,3940.5505018225895,4701.29325711344,4217.265667196522,81381.75138590205,1412.2954793376266
8,93202.0638201625,931.8760419072123,6545.348814495806,0.0,3909.265829571269,4660.103191008125,-1750.496094653646,73936.42947507894,1468.5443734474975
9,92385.48017818363,923.7114723581759,7202.100732595842,0.0,3878.229531428443,4619.274008909181,2191.7589300757013,76435.09487540694,1518.8284875607496
10,91576.05097911104,915.618436138599,7846.670815472754,0.0,3847.439635511612,4578.802548955552,-1624.9803257481556,71191.3035262546,1571.235691029753
11,90773.71353977219,907.5963065140048,8496.542649778736,0.0,3816.8941855933695,4538.68567698861,6186.606908194447,77581.07867585425,1619.5229532376688
12,89978.40572618903,1010.2492077592573,7239.949747277139,0.0,3786.5912409771213,4498.9202863094515,52.03928398081925,71810.83535675216,1683.8991710947157
13,89353.35430894513,1003.2313272580066,7714.010239329297,0.0,3763.40629521704,4467.667715447256,-5397.6968155207005,65273.06109624414,1734.2808199286956
14,88732.6449254486,996.2621977444842,8206.650354043733,0.0,3740.3633087220846,4436.63224627243,7512.4028981610245,77085.62047281652,1779.5192440103856
15,88116.2474129696,989.341480561056,8646.184199250363,0.0,3717.461412288886,4405.81237064848,-18395.126575362687,50128.10142986267,1834.2199449954642
16,87504.1318183091,982.4688394026357,9080.741135026841,0.0,3694.699742036126,4375.206590915455,7941.55967060007,75445.38760620076,1867.187575327349
17,86896.2683963435,975.6439403003409,9544.468301916515,0.0,3672.077439371952,4344.813419817175,-7750.878252444071,58687.58374895272,1920.8032935407173
18,86292.62760857912,968.8664516052656,10011.69658771826,0.0,3649.5936509615917,4314.631380428956,10929.162311802836,76316.0419557218,1960.9598939460993
19,85693.18012171681,962.1360439723633,10494.249323657561,0.0,3627.2475286951585,4284.659006085841,-1093.3019726897244,63216.085353158414,2015.5008934577636
20,85097.89680622653,955.4523903444426,10961.154626686875,0.0,3605.0382296556663,4254.894840311327,8460.751833400902,71722.6313629055,2059.477189723635
21,84506.74873493185,948.8151659362752,11513.570710960048,0.0,3582.9649160872295,4225.337436746593,25680.428588057268,87805.80119644897,2110.6878968100064
22,83919.70718160427,942.2240482188122,11998.919279587635,0.0,3561.0267553634653,4195.985359080214,-8440.404845473802,52606.38264596113,2174.7642479192073
23,83336.74361956722,935.6787169035116,12407.129401082984,0.0,3539.2229199560843,4166.837180978361,5325.792084969433,65403.46331819636,2210.2041674193606
24,82757.82972030994,1044.6833130543869,9611.961511216636,0.0,3517.5525874036734,4137.891486015497,30114.617048999666,92292.8138282795,2267.5440433399344
25,82330.12651913782,1039.284254153078,10043.611521093384,0.0,3502.2762828847913,4116.5063259568915,14338.972264232329,75630.36863126722,2337.0517680147896
26,81904.63374360048,1033.9130982886563,10394.488479047612,0.0,3487.0663215047684,4095.2316871800244,441.00925446542755,60942.154499687254,2392.7889123576097
27,81481.33996993146,1028.5697012546073,10726.574532626864,0.0,3471.9224151433955,4074.0669984965734,8527.422597019937,68270.97910901252,2436.6498104174243
28,81060.2338334038,1023.2539195896939,10948.271943123851,0.0,3456.8442769317326,4053.0116916701904,-40815.79411611,18277.137299498776,2485.9205864795586
29,80641.30402802494,1017.9656105741059,11147.743895380156,0.0,3441.831621246678,4032.065201401247,865.260394177177,59372.101312517654,2494.856781082286
30,80224.53930623313,1012.7046322256268,11483.639037122388,0.0,3426.884163705555,4011.2269653116564,13547.088061656894,71299.55798710743,2537.614582417358
31,79809.92847859547,1007.470843295823,11836.14079975431,0.0,3412.0016211607276,3990.4964239297733,8892.417510183806,65866.12702894025,2590.1092716983985
32,79397.46041350754,1002.2641032662516,12175.844040011587,0.0,3397.1837116942365,3969.873020675377,10099.695554016018,66313.7801612257,2638.2109306503844
33,78987.12403689447,997.0842723446868,12536.886684772582,0.0,3382.4301546124543,3949.3562018447237,18688.10667223862,74122.64896865282,2686.8244269058196
34,78578.90833191367,991.9312114613668,12837.738434856505,0.0,3367.7406704407776,3928.9454165956836,-11639.025715266336,43072.047738845926,2741.4791444470684
35,78172.80233865896,986.804782265261,13042.858681580361,0.0,3353.1149809183207,3908.6401169329483,-17211.58187983281,36899.105285221245,2770.696611908017
36,77768.79515386648,1105.09356909376,8834.63187436561,0.0,3338.5528089926584,3888.4397576933243,40736.46520106812,98531.33766639931,2807.2046783899423
37,77502.48550708314,1101.3093124717352,9074.183440028832,0.0,3329.8803198233113,3875.1242753541574,-14522.26855432831,42716.694669227116,2883.024935849673
